node_id,index,x,y,max_min_distance
14,14,231275.95994670215,3350794.8426534976,550.4480151744214
20,20,232136.7552633907,3350652.094038905,550.4480151744214
25,25,230208.05434632703,3348896.928372853,550.4480151744214
30,30,230497.93844908185,3348118.924972367,550.4480151744214
43,43,230128.5946258921,3349480.3546167403,550.4480151744214
50,50,232005.0900137843,3349892.352983803,550.4480151744214
81,81,231086.46600854825,3349046.0424854117,550.4480151744214
96,96,230227.19486079665,3350684.422749434,550.4480151744214
99,99,231061.07543064604,3350024.296353892,550.4480151744214
135,135,229989.95909981945,3349842.9081701008,550.4480151744214
